"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 01 19:40:46 GMT 2022","Wed Jun 01 19:40:46 GMT 2022","2","","LogInTest","","LogInTest","TestGetPassword","TestGetPassword()",""
"failed","Wed Jun 01 19:40:45 GMT 2022","Wed Jun 01 19:40:45 GMT 2022","37","","LogInTest","","LogInTest","TestGetEmail","TestGetEmail()",""
