"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jun 03 08:43:51 GMT 2022","Fri Jun 03 08:43:51 GMT 2022","1","","LocalTest","","LocalTest","TestLogin","TestLogin()",""
"broken","Fri Jun 03 08:43:51 GMT 2022","Fri Jun 03 08:43:51 GMT 2022","2","","PublicTest","","PublicTest","","PublicTest",""
"broken","Fri Jun 03 08:43:52 GMT 2022","Fri Jun 03 08:44:14 GMT 2022","22504","","LocalTest","","LocalTest","PlayListTest","PlayListTest()",""
