"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 18:51:25 GMT 2022","Wed Jun 01 18:51:25 GMT 2022","7","","LogInTest","","LogInTest","TestGetPassword","TestGetPassword()",""
"broken","Wed Jun 01 18:51:25 GMT 2022","Wed Jun 01 18:51:25 GMT 2022","33","","LogInTest","","LogInTest","TestGetEmail","TestGetEmail()",""
